SPECIESNAME,YEAR,AREA,REGION,COUNT
American Coot,1955,85,uw,6900
American Coot,1955,86,uw,410
American Coot,1955,88,uw,0
American Coot,1955,89,uw,0
American Coot,1955,90,uw,0
American Coot,1956,11,nh,10
American Coot,1956,14,nh,0
American Coot,1956,16,nh,4150
American Coot,1956,21,nh,2490
American Coot,1956,31,ch,1600
American Coot,1956,32,ch,550
American Coot,1956,33,ch,1600
American Coot,1956,36,ch,29950
American Coot,1956,41,ch,500
American Coot,1956,43,ch,2550
American Coot,1956,44,ch,3150
American Coot,1956,45,ch,700
American Coot,1956,46,ch,6700
American Coot,1956,47,ch,2700
American Coot,1956,48,ch,50
American Coot,1956,49,ch,2500
American Coot,1956,50,ch,0
American Coot,1956,51,ch,11900
American Coot,1956,52,ch,5050
American Coot,1956,60,lw,0
American Coot,1956,60a,oh,5000
American Coot,1956,61,lw,4225
American Coot,1956,62,lw,27850
American Coot,1956,63,lw,1350
American Coot,1956,64,lw,5450
American Coot,1956,65,ec,100
American Coot,1956,66,ec,21000
American Coot,1956,67,ec,43000
American Coot,1956,68,ec,74000
American Coot,1956,69,ec,51600
American Coot,1956,70,ec,608400
American Coot,1956,71,ec,13600
American Coot,1956,74,uw,700
American Coot,1956,78,uw,0
American Coot,1956,79,uw,600
American Coot,1956,81,uw,0
American Coot,1956,82,uw,13300
American Coot,1956,83,uw,1475
American Coot,1956,84,uw,11700
American Coot,1956,85,uw,11250
American Coot,1956,86,uw,2800
American Coot,1956,88,uw,0
American Coot,1956,89,uw,0
American Coot,1956,90,uw,0
American Coot,1958,11,nh,0
American Coot,1958,14,nh,0
American Coot,1958,16,nh,1325
American Coot,1958,21,nh,0
American Coot,1958,31,ch,750
American Coot,1958,32,ch,100
American Coot,1958,33,ch,850
American Coot,1958,36,ch,6500
American Coot,1958,41,ch,50
American Coot,1958,43,ch,300
American Coot,1958,44,ch,1200
American Coot,1958,45,ch,500
American Coot,1958,46,ch,1900
American Coot,1958,47,ch,100
American Coot,1958,48,ch,0
American Coot,1958,49,ch,50
American Coot,1958,50,ch,0
American Coot,1958,51,ch,100
American Coot,1958,52,ch,250
American Coot,1958,6,nh,0
American Coot,1958,60,lw,0
American Coot,1958,60a,oh,0
American Coot,1958,61,lw,100
American Coot,1958,62,lw,0
American Coot,1958,63,lw,1500
American Coot,1958,64,lw,4500
American Coot,1958,65,ec,2400
American Coot,1958,66,ec,700
American Coot,1958,67,ec,106800
American Coot,1958,68,ec,93200
American Coot,1958,69,ec,110000
American Coot,1958,70,ec,0
American Coot,1958,71,ec,237000
American Coot,1959,11,nh,0
American Coot,1959,14,nh,0
American Coot,1959,16,nh,1400
American Coot,1959,21,nh,4000
American Coot,1959,31,ch,300
American Coot,1959,32,ch,8500
American Coot,1959,33,ch,6950
American Coot,1959,36,ch,13800
American Coot,1959,41,ch,0
American Coot,1959,43,ch,1120
American Coot,1959,44,ch,750
American Coot,1959,45,ch,2100
American Coot,1959,46,ch,2300
American Coot,1959,47,ch,3500
American Coot,1959,48,ch,0
American Coot,1959,49,ch,27
American Coot,1959,50,ch,800
American Coot,1959,51,ch,1800
American Coot,1959,52,ch,7000
American Coot,1959,6,nh,150
American Coot,1959,60,lw,0
American Coot,1959,60a,oh,400
American Coot,1959,61,lw,0
American Coot,1959,62,lw,0
American Coot,1959,63,lw,1200
American Coot,1959,64,lw,50
American Coot,1959,65,ec,71700
American Coot,1959,66,ec,58905
American Coot,1959,67,ec,156740
American Coot,1959,69,ec,46630
American Coot,1959,70,ec,4320
American Coot,1959,71,ec,74095
American Coot,1960,1,nh,25
American Coot,1960,11,nh,0
American Coot,1960,14,nh,0
American Coot,1960,16,nh,1010
American Coot,1960,21,nh,805
American Coot,1960,28,nh,0
American Coot,1960,3,nh,0
American Coot,1960,31,ch,960
American Coot,1960,32,ch,950
American Coot,1960,33,ch,4600
American Coot,1960,36,ch,9025
American Coot,1960,4,nh,0
American Coot,1960,41,ch,830
American Coot,1960,43,ch,1950
